=====================================================================================
🏛️ QM MASS-BACKTEST ERGEBNISSE | Margin: $5,000
=====================================================================================
Coin         | TF    | Trades   | Win Rate   | Max DD   | Netto PnL   
HOOKUSDT     | 4h    | 12       | 41.67 %   | 19.35 % | $+15,251.11
MAGICUSDT    | 1h    | 71       | 36.62 %   | 22.35 % | $+50,197.05
MAGICUSDT    | 4h    | 15       | 53.33 %   |  9.31 % | $+77,364.84
TUSDT        | 1h    | 52       | 40.38 %   | 17.74 % | $+43,111.82
TUSDT        | 4h    | 15       | 40.00 %   | 16.21 % | $+12,038.92
HIGHUSDT     | 1h    | 60       | 38.33 %   | 17.91 % | $+22,930.81
HIGHUSDT     | 4h    | 12       | 33.33 %   | 20.69 % | $-4,481.05
MINAUSDT     | 1h    | 50       | 30.00 %   | 13.71 % | $+14,943.34
MINAUSDT     | 4h    | 9        | 22.22 %   |  8.05 % | $-3,253.74
ASTRUSDT     | 1h    | 54       | 25.93 %   | 23.35 % | $-12,119.09
ASTRUSDT     | 4h    | 14       | 42.86 %   | 17.64 % | $+8,079.56
PHBUSDT      | 1h    | 62       | 33.87 %   | 19.44 % | $+58,696.23
PHBUSDT      | 4h    | 10       | 20.00 %   | 32.43 % | $-4,723.74
GMXUSDT      | 1h    | 72       | 25.00 %   | 25.83 % | $-24,488.32
GMXUSDT      | 4h    | 13       | 15.38 %   | 40.28 % | $-36,494.50
CFXUSDT      | 1h    | 63       | 22.22 %   | 49.59 % | $-43,187.57
CFXUSDT      | 4h    | 15       | 60.00 %   |  4.12 % | $+81,840.13
STXUSDT      | 1h    | 66       | 34.85 %   | 22.26 % | $+19,404.97
STXUSDT      | 4h    | 14       | 42.86 %   | 16.60 % | $+18,909.46
ACHUSDT      | 1h    | 67       | 46.27 %   | 10.02 % | $+77,497.41
ACHUSDT      | 4h    | 18       | 55.56 %   | 15.42 % | $+76,094.21
SSVUSDT      | 1h    | 63       | 33.33 %   | 23.51 % | $+10,686.44
SSVUSDT      | 4h    | 10       | 40.00 %   | 34.98 % | $+3,392.64
CKBUSDT      | 1h    | 60       | 38.33 %   | 17.18 % | $+63,982.65
CKBUSDT      | 4h    | 8        | 25.00 %   | 13.43 % | $+4,425.69
TRUUSDT      | 1h    | 53       | 24.53 %   | 74.88 % | $-65,933.11
