=====================================================================================
🏛️ QM MASS-BACKTEST ERGEBNISSE | Margin: $5,000
=====================================================================================
Coin         | TF    | Trades   | Win Rate   | Max DD   | Netto PnL   
UAIUSDT      | 1h    | 19       | 52.63 %   |  9.17 % | $+92,046.59
UAIUSDT      | 4h    | 3        |  0.00 %   | 12.97 % | $-12,972.68
FOLKSUSDT    | 1h    | 23       | 30.43 %   | 52.10 % | $+23,220.00
FOLKSUSDT    | 4h    | 6        | 16.67 %   | 86.30 % | $-69,269.45
STABLEUSDT   | 1h    | 16       | 37.50 %   | 20.49 % | $+42,877.20
STABLEUSDT   | 4h    | 1        | 100.00 %   |  0.00 % | $+12,293.92
JCTUSDT      | 1h    | 17       | 35.29 %   | 38.56 % | $-7,328.43
JCTUSDT      | 4h    | 6        | 33.33 %   | 20.65 % | $-9,149.23
ALLOUSDT     | 1h    | 15       | 26.67 %   | 22.84 % | $-14,949.75
ALLOUSDT     | 4h    | 5        | 20.00 %   |  4.34 % | $-1,119.00
CLANKERUSDT  | 1h    | 21       | 33.33 %   | 27.72 % | $-18,713.66
CLANKERUSDT  | 4h    | 2        |  0.00 %   | 18.02 % | $-18,020.92
BEATUSDT     | 1h    | 15       | 26.67 %   | 43.22 % | $+59,612.57
BEATUSDT     | 4h    | 4        | 50.00 %   | 17.28 % | $+36,630.53
PIEVERSEUSDT | 1h    | 18       | 61.11 %   |  6.91 % | $+142,360.04
PIEVERSEUSDT | 4h    | 5        |  0.00 %   | 67.05 % | $-67,053.39
SENTUSDT     | 1h    | 20       | 50.00 %   | 13.80 % | $+25,569.18
SENTUSDT     | 4h    | 2        | 50.00 %   |  8.39 % | $-2,815.54
BOBUSDT      | 1h    | 14       | 21.43 %   | 19.94 % | $-12,194.68
BOBUSDT      | 4h    | 7        | 42.86 %   | 43.78 % | $-14,078.96
IRYSUSDT     | 1h    | 19       | 31.58 %   | 17.39 % | $+22,789.10
IRYSUSDT     | 4h    | 1        |  0.00 %   |  3.09 % | $-3,093.86
RLSUSDT      | 1h    | 16       | 25.00 %   | 20.65 % | $-5,213.19
RLSUSDT      | 4h    | 8        | 62.50 %   |  8.49 % | $+36,622.01
POWERUSDT    | 1h    | 14       | 42.86 %   | 18.01 % | $+17,282.78
POWERUSDT    | 4h    | 2        |  0.00 %   | 14.02 % | $-14,024.05
WETUSDT      | 1h    | 15       | 13.33 %   | 38.34 % | $-38,341.94
WETUSDT      | 4h    | 5        | 20.00 %   |  8.80 % | $-2,822.73
NIGHTUSDT    | 1h    | 11       | 36.36 %   | 18.72 % | $-11,784.90
NIGHTUSDT    | 4h    | 1        |  0.00 %   |  2.52 % | $-2,520.04
USUSDT       | 1h    | 11       | 54.55 %   | 16.69 % | $+13,143.18
USUSDT       | 4h    | 4        | 25.00 %   | 28.73 % | $-21,117.34
CYSUSDT      | 1h    | 11       | 27.27 %   | 11.63 % | $+9,879.32
CYSUSDT      | 4h    | 2        |  0.00 %   | 46.66 % | $-46,663.13
RAVEUSDT     | 1h    | 13       | 23.08 %   | 14.24 % | $-9,614.12
RAVEUSDT     | 4h    | 2        | 50.00 %   |  2.44 % | $+7,567.73
ZKPUSDT      | 1h    | 9        | 33.33 %   | 32.83 % | $-14,925.55
GUAUSDT      | 1h    | 13       | 30.77 %   | 11.86 % | $+3,771.45
IRUSDT       | 1h    | 10       | 40.00 %   | 24.03 % | $-1,404.46
IRUSDT       | 4h    | 3        | 33.33 %   | 15.40 % | $-4,423.71
LITUSDT      | 1h    | 14       | 42.86 %   |  7.00 % | $+36,933.06
LITUSDT      | 4h    | 3        | 33.33 %   | 14.18 % | $+4,360.50
BREVUSDT     | 1h    | 11       | 45.45 %   | 33.22 % | $+8,660.15
BREVUSDT     | 4h    | 1        |  0.00 %   | 21.78 % | $-21,781.57
COLLECTUSDT  | 1h    | 11       | 27.27 %   | 26.44 % | $+4,987.30
COLLECTUSDT  | 4h    | 4        | 25.00 %   | 20.22 % | $-16,941.24
MAGMAUSDT    | 1h    | 18       | 11.11 %   | 39.60 % | $-27,315.15
MAGMAUSDT    | 4h    | 4        | 50.00 %   | 19.99 % | $+12,662.61
ZAMAUSDT     | 1h    | 8        | 25.00 %   | 24.24 % | $-11,452.74
ZAMAUSDT     | 4h    | 2        |  0.00 %   | 15.77 % | $-15,771.64
FOGOUSDT     | 1h    | 6        | 66.67 %   |  2.90 % | $+35,752.82
FRAXUSDT     | 1h    | 6        | 16.67 %   | 21.81 % | $-17,375.24
FRAXUSDT     | 4h    | 2        | 50.00 %   | 10.68 % | $+2,574.02
SPORTFUNUSDT | 1h    | 5        | 20.00 %   | 22.89 % | $-16,470.93
SPORTFUNUSDT | 4h    | 3        | 33.33 %   |  6.16 % | $+10,057.11
AIAUSDT      | 1h    | 15       | 53.33 %   | 38.67 % | $-298.55
ACUUSDT      | 1h    | 7        | 14.29 %   | 11.41 % | $-10,395.87
ACUUSDT      | 4h    | 1        |  0.00 %   |  9.82 % | $-9,817.57
我踏马来了USDT    | 1h    | 7        | 28.57 %   | 25.05 % | $-15,125.25
ELSAUSDT     | 1h    | 5        | 40.00 %   |  6.15 % | $+18,100.51
SKRUSDT      | 1h    | 5        | 40.00 %   |  5.32 % | $+8,752.52
SPACEUSDT    | 1h    | 3        | 33.33 %   |  5.20 % | $-581.62
FIGHTUSDT    | 1h    | 3        | 33.33 %   |  4.95 % | $-949.51
FIGHTUSDT    | 4h    | 1        | 100.00 %   |  0.00 % | $+17,941.30
BIRBUSDT     | 1h    | 6        | 16.67 %   | 41.40 % | $-32,770.45
GWEIUSDT     | 1h    | 7        | 14.29 %   | 14.24 % | $-14,242.09
MEGAUSDT     | 1h    | 5        | 40.00 %   |  2.60 % | $+11,574.73
INXUSDT      | 1h    | 8        | 37.50 %   | 12.52 % | $-2,886.65
TRIAUSDT     | 1h    | 5        | 60.00 %   | 15.56 % | $+11,328.59
ESPUSDT      | 1h    | 3        | 100.00 %   |  0.00 % | $+53,394.91
AZTECUSDT    | 1h    | 2        |  0.00 %   |  2.47 % | $-2,471.41

=====================================================================================
🏁 BACKTEST ABGESCHLOSSEN in 1384.96 s
💰 GESAMT PNL ÜBER ALLE TRADES: $+13,194,061.24
=====================================================================================
