=====================================================================================
🧠 SMC BTC HYPERPARAMETER ERGEBNISSE | Sortiert nach Profit
=====================================================================================
SL %     | EMA   | R:R    | Trades | Win Rate  | Max DD  | Netto PnL   
 0.20%  | 15    | 1.50   | 31     |  35.48 % |  5.46% | $+85.39
 1.50%  | 21    | 1.00   | 2      |  50.00 % |  2.32% | $+45.85
 1.50%  | 21    | 1.15   | 2      |  50.00 % |  2.32% | $+45.85
 1.50%  | 25    | 1.00   | 2      |  50.00 % |  2.32% | $+45.85
 1.50%  | 25    | 1.15   | 2      |  50.00 % |  2.32% | $+45.85
 1.50%  | 29    | 1.00   | 2      |  50.00 % |  2.32% | $+45.85
 1.50%  | 29    | 1.15   | 2      |  50.00 % |  2.32% | $+45.85
 1.50%  | 33    | 1.00   | 2      |  50.00 % |  2.32% | $+45.85
 1.50%  | 33    | 1.15   | 2      |  50.00 % |  2.32% | $+45.85
 1.25%  | 9     | 1.50   | 0      |   0.00 % |  0.00% | $+0.00
 1.50%  | 9     | 1.25   | 0      |   0.00 % |  0.00% | $+0.00
 1.50%  | 9     | 1.50   | 0      |   0.00 % |  0.00% | $+0.00
 0.20%  | 25    | 0.90   | 46     |  39.13 % |  5.59% | $-60.69
 0.20%  | 15    | 1.15   | 36     |  36.11 % |  6.05% | $-104.75
 0.20%  | 25    | 1.00   | 43     |  37.21 % |  5.75% | $-219.36
 0.20%  | 25    | 1.50   | 33     |  33.33 % |  5.00% | $-279.47
 0.20%  | 15    | 0.90   | 43     |  39.53 % |  5.61% | $-285.69
 0.20%  | 12    | 1.25   | 30     |  33.33 % |  6.06% | $-328.45
 1.00%  | 9     | 1.15   | 4      |  50.00 % |  1.79% | $-335.94
 1.00%  | 9     | 1.25   | 4      |  50.00 % |  1.79% | $-335.94
 0.20%  | 15    | 1.25   | 33     |  33.33 % |  6.07% | $-551.67
 0.20%  | 25    | 1.15   | 39     |  33.33 % |  6.06% | $-768.96
 1.00%  | 12    | 1.50   | 3      |  33.33 % |  3.15% | $-780.00
 1.00%  | 15    | 1.50   | 3      |  33.33 % |  3.15% | $-780.00
 1.25%  | 9     | 0.90   | 4      |  50.00 % |  2.22% | $-837.14
 1.25%  | 9     | 1.00   | 4      |  50.00 % |  2.22% | $-837.14
 0.20%  | 25    | 1.25   | 36     |  30.56 % |  5.91% | $-1,215.89
 1.25%  | 12    | 1.25   | 3      |  33.33 % |  3.65% | $-1,281.20
 1.25%  | 15    | 1.25   | 3      |  33.33 % |  3.65% | $-1,281.20
 1.50%  | 9     | 0.90   | 4      |  50.00 % |  2.71% | $-1,338.34
 0.20%  | 9     | 1.00   | 30     |  36.67 % |  6.10% | $-1,722.11
 1.50%  | 12    | 1.00   | 3      |  33.33 % |  4.15% | $-1,782.40
 1.50%  | 12    | 1.15   | 3      |  33.33 % |  4.15% | $-1,782.40
 1.50%  | 15    | 1.00   | 3      |  33.33 % |  4.15% | $-1,782.40
 1.50%  | 15    | 1.15   | 3      |  33.33 % |  4.15% | $-1,782.40
 1.00%  | 9     | 1.00   | 5      |  40.00 % |  3.36% | $-1,997.38
 1.00%  | 9     | 0.90   | 7      |  42.86 % |  4.57% | $-2,000.86
 0.20%  | 9     | 1.15   | 27     |  33.33 % |  6.41% | $-2,047.21
 0.20%  | 9     | 1.50   | 24     |  33.33 % |  5.83% | $-2,047.78
 0.20%  | 9     | 0.90   | 34     |  38.24 % |  6.58% | $-2,228.15
 1.25%  | 9     | 1.15   | 3      |  33.33 % |  2.25% | $-2,251.01
 0.75%  | 9     | 1.15   | 6      |  33.33 % |  3.64% | $-2,277.09
 0.20%  | 9     | 1.25   | 26     |  30.77 % |  6.45% | $-2,684.84
 1.00%  | 9     | 1.50   | 2      |   0.00 % |  3.15% | $-3,148.77
 1.25%  | 9     | 1.25   | 2      |   0.00 % |  3.65% | $-3,649.97
 1.50%  | 9     | 1.00   | 2      |   0.00 % |  4.15% | $-4,151.17
 1.50%  | 9     | 1.15   | 2      |   0.00 % |  4.15% | $-4,151.17
