===========================================================================
📊 SMC MASS BACKTEST | Margin: $1,000 | SL: 0.4%
===========================================================================
Coin            | Trades   | Win Rate   | Max DD   | Netto PnL   
PORTALUSDT      | 9        | 33.33 %   |  5.28 % | $+503.32
TONUSDT         | 12       | 41.67 %   |  1.81 % | $+1,714.75
AXLUSDT         | 4        | 25.00 %   |  3.66 % | $-3,655.59
METISUSDT       | 12       | 16.67 %   |  7.55 % | $-2,335.55
AEVOUSDT        | 6        | 50.00 %   |  2.84 % | $+5,702.78
VANRYUSDT       | 6        |  0.00 %   |  6.83 % | $-6,825.26
BOMEUSDT        | 8        | 62.50 %   |  1.82 % | $+11,495.68
ETHFIUSDT       | 14       | 42.86 %   |  2.47 % | $+9,333.99
ENAUSDT         | 6        | 50.00 %   |  1.60 % | $+1,928.66
WUSDT           | 7        | 14.29 %   |  4.62 % | $-3,482.21
TNSRUSDT        | 6        | 66.67 %   |  1.93 % | $+7,889.69
SAGAUSDT        | 13       |  7.69 %   |  9.47 % | $-9,465.28
TAOUSDT         | 9        | 22.22 %   |  5.35 % | $+181.36
REZUSDT         | 13       | 15.38 %   |  6.70 % | $-6,302.20
BBUSDT          | 11       |  9.09 %   | 11.67 % | $-11,669.81
NOTUSDT         | 8        | 25.00 %   |  4.17 % | $-4,172.70
TURBOUSDT       | 11       | 36.36 %   |  3.97 % | $-1,717.52
IOUSDT          | 16       | 37.50 %   |  4.61 % | $+674.03
ZKUSDT          | 9        | 11.11 %   |  5.50 % | $-5,495.22
MEWUSDT         | 13       | 38.46 %   |  3.86 % | $-208.08
LISTAUSDT       | 7        | 14.29 %   |  6.52 % | $-4,566.31
ZROUSDT         | 7        | 14.29 %   |  5.54 % | $-5,544.77
RENDERUSDT      | 9        | 33.33 %   |  4.29 % | $-1,148.93
BANANAUSDT      | 10       | 30.00 %   |  4.19 % | $+4,732.19
RAREUSDT        | 14       | 28.57 %   |  6.54 % | $-2,847.73
GUSDT           | 14       | 21.43 %   |  4.83 % | $-3,490.49
SYNUSDT         | 12       | 33.33 %   |  4.54 % | $-2,611.05
SYSUSDT         | 10       | 30.00 %   |  6.07 % | $+1,367.39
BRETTUSDT       | 9        | 11.11 %   |  9.34 % | $-7,688.10
POPCATUSDT      | 13       | 46.15 %   |  2.96 % | $+7,078.95
SUNUSDT         | 7        | 57.14 %   |  1.51 % | $+1,478.69
DOGSUSDT        | 7        | 14.29 %   |  4.28 % | $-3,549.16
MBOXUSDT        | 16       | 31.25 %   |  5.07 % | $+498.83
FLUXUSDT        | 15       | 33.33 %   |  4.48 % | $+898.54
RPLUSDT         | 8        | 25.00 %   |  4.18 % | $-1,264.69
